User_ID,Group,Sessions,Time_Spent_Minutes,Actions_Per_Session,Purchases,Average_Purchase_Value,Age,Gender
1,Control,5,138.2214775,21.71251536,2,16.74070195,18,Other
2,Control,4,173.1200814,24.67751672,4,11.12237307,25,Female
3,Control,4,76.81605843,19.87919496,1,11.12788483,30,Female
4,Control,5,118.0377329,18.09964794,1,11.83715694,25,Male
5,Control,5,129.0993774,16.73474036,3,6.04507128,40,Female
6,Control,3,132.1571688,18.16992562,0,13.30836306,35,Female
7,Control,5,109.2778319,17.09220553,0,7.511591748,45,Male
8,Control,4,90.94420911,8.879793204,3,7.149589694,25,Male
9,Control,6,56.32107047,21.65204874,0,8.60047822,30,Male
10,Control,7,178.7570237,15.42835105,4,9.275327603,40,Female
11,Control,2,166.3729122,27.18755911,2,10.00519424,30,Female
12,Control,5,98.34180188,28.83160508,3,9.08124857,30,Male
13,Control,5,118.7062196,13.74504706,4,8.348702248,30,Female
14,Control,6,99.83975192,16.02323899,0,8.030900677,30,Female
15,Control,4,109.1209601,12.84855699,2,10.10746639,30,Male
16,Control,6,113.7714266,10.23363306,0,4.704810567,35,Female
17,Control,6,81.61298108,14.7126609,1,10.07728336,50,Female
18,Control,1,115.8985121,15.16361493,2,13.81601985,30,Female
19,Control,7,121.481552,8.480911891,2,10.92577181,40,Male
20,Control,2,68.8918368,9.407195217,2,12.22132017,40,Female
21,Control,11,96.46913248,0.134132786,3,14.13823816,35,Female
22,Control,4,75.90172465,9.156493746,2,11.87721622,40,Female
23,Control,3,86.64777244,19.22592305,2,8.259445757,35,Female
24,Control,8,110.9612918,22.21608846,1,8.508884593,18,Female
25,Control,3,113.458954,5.143813811,0,10.33927121,40,Male
26,Control,3,113.6870215,8.299365093,2,6.302011912,50,Female
27,Control,5,180.918841,21.13428463,0,17.57919699,45,Male
28,Control,8,127.576691,10.73192324,3,10.01582407,30,Female
29,Control,3,129.8237571,12.6939525,5,14.49669576,50,Male
30,Control,2,121.8653813,11.56238561,1,9.506498069,25,Male
31,Control,5,75.09514313,19.58472784,3,10.21133053,30,Male
32,Control,3,114.6813198,23.36839558,1,9.864774193,18,Female
33,Control,8,118.5448878,15.36826536,4,13.82811171,30,Female
34,Control,10,140.5508553,12.80498726,1,17.4574573,18,Female
35,Control,3,85.17373849,13.89406785,3,5.615667168,40,Female
36,Control,2,101.4237507,19.45922927,5,9.269661395,25,Male
37,Control,5,85.85204061,17.62583961,2,11.27312334,35,Female
38,Control,7,98.41321536,13.74696588,1,4.762877867,35,Male
39,Control,6,109.5775937,14.78156864,2,8.11337473,30,Male
40,Control,6,82.56068285,11.41064561,3,11.27050937,25,Male
41,Control,2,143.2796262,11.65682784,3,8.518753554,35,Female
42,Control,4,88.88843892,8.007853607,4,10.07130211,25,Female
43,Control,9,139.178077,20.7281507,0,11.50099353,25,Male
44,Control,7,105.1200816,3.679379853,3,8.434492962,40,Female
45,Control,11,104.4247505,16.39449911,1,7.127757257,30,Male
46,Control,8,144.2561699,14.86642439,0,7.040521567,30,Other
47,Control,3,137.759544,14.53003065,0,3.276949646,50,Male
48,Control,2,132.5935087,11.93864283,3,11.61909052,25,Female
49,Control,3,67.07487658,13.53054021,3,9.510292616,18,Female
50,Control,4,155.687723,23.79988464,4,13.63113697,30,Female
51,Control,5,163.0613842,15.36558849,1,11.93466029,35,Female
52,Control,5,111.1188739,15.80764661,6,10.23153542,30,Female
53,Control,4,90.09623013,15.96603287,0,11.07299125,18,Other
54,Control,3,82.66356077,11.4924643,0,4.806166444,30,Male
55,Control,8,109.9400303,12.16014027,2,11.07921412,30,Male
56,Control,2,86.19533898,17.63609437,2,9.3768161,50,Female
57,Control,1,112.3093113,10.79744098,2,7.843830552,18,Male
58,Control,4,102.2313107,14.51671438,1,8.724240957,40,Female
59,Control,5,78.83626851,20.8078041,0,11.99098936,30,Male
60,Control,4,98.7009557,11.64824152,2,8.292685805,45,Male
61,Control,3,121.5448629,14.45129739,3,9.27482407,40,Male
62,Control,4,91.57704601,13.6123029,2,11.71701688,30,Female
63,Control,8,108.3892444,17.51220352,2,9.234097322,35,Female
64,Control,2,145.7908898,15.72669453,1,10.53381738,30,Male
65,Control,2,96.41442538,11.58033052,1,9.68410385,40,Other
66,Control,2,91.12190777,12.33574176,1,13.31522255,40,Male
67,Control,7,122.601736,11.79902848,1,10.51373446,40,Male
68,Control,6,153.8589178,11.39599787,1,5.08281793,30,Male
69,Control,7,131.9795469,6.229163558,2,12.38938885,18,Male
70,Control,6,98.8599109,15.90526305,3,8.052900705,25,Male
71,Control,7,98.75751344,11.65368111,6,8.456046054,30,Female
72,Control,6,104.3636422,17.41817151,3,9.355460906,35,Female
73,Control,4,109.1367125,15.42285575,2,16.60838051,18,Female
74,Control,2,193.9048759,13.11203851,2,11.57166402,30,Male
75,Control,3,122.7700115,12.70361164,3,15.76112586,25,Female
76,Control,4,173.6391572,8.397620354,1,10.17860843,18,Female
77,Control,7,144.5870092,15.64651171,4,12.20121793,30,Female
78,Control,4,44.04648034,14.58421616,1,15.37804602,35,Female
79,Control,3,104.6050717,11.88387644,0,12.46138133,40,Female
80,Control,2,117.8212291,5.086746677,1,11.23734109,40,Female
81,Control,6,124.8793985,13.97105953,1,5.89206249,35,Male
82,Control,3,121.9079098,14.34281234,1,6.957852842,18,Female
83,Control,5,68.22756459,20.51026363,1,10.89375016,35,Female
84,Control,9,67.07394058,15.18764826,5,13.03648432,18,Male
85,Control,6,118.5717867,20.95513342,1,9.593409153,30,Female
